####[PV(Unique_Key), AlarmFields:[HIHI, HIGH, LOW, LOLO, HYST, AFTC] = Setpoint Value]########
ctrlslab:A_Alarm_1,  HIHI=61, HIGH=51, LOW=41, LOLO=21, HYST=0, AFTC=0
ctrlslab:A_Alarm_2,  HIHI=62, HIGH=52, LOW=42, LOLO=22, HYST=1, AFTC=1
ctrlslab:A_Alarm_3,  HIHI=63, HIGH=53, LOW=43, LOLO=23, HYST=2, AFTC=2
ctrlslab:A_Alarm_4,  HIHI=64, HIGH=54, LOW=44, LOLO=24
ctrlslab:A_Alarm_5,  HIHI=65, HIGH=55, LOW=45, LOLO=45
ctrlslab:A_Alarm_6,  HIHI=66, HIGH=56, LOW=46, LOLO=26
#ctrlslab:A_Alarm_11,  high=65, hihi=71,   low=50,  aftc = 5
ctrlslab:A_Alarm_7,  HIHI=67, HIGH=57, LOW=47, LOLO=27, HYST=6, AFTC=6
ctrlslab:A_Alarm_8,  HIHI=68, HIGH=58, LOW=48, LOLO=28, HYST=7, AFTC=7
ctrlslab:A_Alarm_9,  HIHI=69, HIGH=59, LOW=49, LOLO=29, HYST=8, AFTC=8
ctrlslab:A_Alarm_10, HIHI=70, HIGH=60, LOW=50, LOLO=30, HYST=9, AFTC=9
